Ticker_1,Ticker_2,M1_nstd,M1_Return,M1_Sharpe,M1_Trades,M2_nstd,M2_Return,M2_Sharpe,M2_Trades,N_OOS,Improvement_Sharpe_%,Improvement_Return_%,Asset_Class
XTH Curncy,XMN Curncy,2.3000000000000003,-0.020223481986502444,-28.94197635437908,730,0.6,0.10877501442499979,0.00677603020383142,730,731,-100.02341246541309,-637.8649161286786,crypto
XLM Curncy,XLC Curncy,1.7000000000000002,2.1439910964500597,0.5755192877868249,730,1.2000000000000002,0.05551935486896761,0.00391543368040612,730,731,-99.31966942490094,-97.41046709751294,crypto
XRP Curncy,XMR Curncy,1.6,1.4427848373495793,0.5677509112304473,730,1.1,1.5645932766376391,0.12851442812194008,730,731,-77.36429381620549,8.442592140892202,crypto
CL1 Comdty,CO1 Comdty,0.1,,0.0,0,0.1,,0.0,0,731,,,commodities
W 1 Comdty,CT1 Comdty,1.5000000000000002,-0.0918031701894767,-0.04839168742729843,730,0.6,-0.20666608056774824,-0.02478100062772935,730,731,-48.7907904328419,125.11867524966816,commodities
NG1 Comdty,LX1 Comdty,1.1,-0.3625884315892342,-0.01846241403594653,730,0.5,0.173458605069192,0.0023122677315344283,730,731,-112.52418956173562,-147.83897939294934,commodities
GFRN10 Index,GFRN30 Index,2.5000000000000004,-0.6529608235663801,-0.7271334452431627,401,0.6,0.12211998923087299,0.02643813897992573,404,523,-103.63594043883988,-118.70249865280904,taux
GDBR1 Index,GFRN1 Index,1.2000000000000002,-0.19144585016928037,-1.2561995326930941,409,0.8,-0.05607388117594606,-0.4360625294839743,470,523,-65.28716034871269,-70.71031776015809,taux
RX1 Comdty,IK1 Comdty,1.9000000000000001,0.2222397140235902,0.6288646710260521,474,1.8000000000000003,0.010666992798104074,-0.0077485432317399095,490,523,-101.23214796262883,-95.2002310455764,taux
ADI US Equity,KLAC US Equity,2.0,-0.1746276072067243,-0.054889487381692116,730,0.7000000000000001,-0.13027311944783226,-0.0143563349901096,730,731,-73.84501901014652,-25.39947060397223,tech
NXPI US Equity,AMAT US Equity,1.8000000000000003,0.5295935004449727,0.15845626939057925,730,0.9,-0.052334949686292084,-0.009551606715017825,730,731,-106.02791341216928,-109.88209818328953,tech
TXN US Equity,HUBS US Equity,1.4000000000000001,-1.2531640152795418,-0.24292465013412984,730,0.6,0.01008473061661034,-0.0008629794769068217,730,731,-99.64475425757315,-100.8047414778632,tech
