Model,Strategy,Threshold,Return,Sharpe,Trades,Pair
Model I,A,1.0σ,110.03520207448858,0.8205309478101688,26,PEP-KO
Model I,A,1.5σ,75.97556344071386,0.6261470402674518,12,PEP-KO
Model I,A,2.0σ,66.00453842955322,0.6694782931731545,8,PEP-KO
Model I,B,1.0σ,143.05988063634186,0.8600930434716104,9,PEP-KO
Model I,B,1.5σ,100.25040072616498,0.6089993298138685,5,PEP-KO
Model I,B,2.0σ,72.91378186426857,0.4437972559755036,3,PEP-KO
Model I,C,1.0σ,-31.03814027603104,-0.35814421670896285,94,PEP-KO
Model I,C,1.5σ,-37.441849859835116,-0.3619347860262311,72,PEP-KO
Model I,C,2.0σ,30.417123763865018,0.3221737517406902,30,PEP-KO
Model Ii,A,1.0σ,123.23276826372371,0.7657648191804234,93,PEP-KO
Model Ii,A,1.5σ,126.84208302084936,0.7997686334300759,77,PEP-KO
Model Ii,A,2.0σ,137.98397292312387,0.8791594402488294,71,PEP-KO
Model Ii,B,1.0σ,143.87663813651247,0.8605867715182576,34,PEP-KO
Model Ii,B,1.5σ,140.1539127493488,0.8401336910591197,26,PEP-KO
Model Ii,B,2.0σ,170.46692178301814,1.021358904743205,26,PEP-KO
Model Ii,C,1.0σ,-81.42066134966032,-0.9947049310389552,120,PEP-KO
Model Ii,C,1.5σ,-100.14707016072582,-1.5121561358549735,158,PEP-KO
Model Ii,C,2.0σ,-70.42594135174282,-1.0657765781845154,144,PEP-KO
Model I,A,1.0σ,95.40497485351067,0.7848125158242226,19,EWT-EWH
Model I,A,1.5σ,62.777543737972096,0.6189516777661579,8,EWT-EWH
Model I,A,2.0σ,39.970308428736885,0.4512106099390333,4,EWT-EWH
Model I,B,1.0σ,102.59689180817936,0.6730495647944386,6,EWT-EWH
Model I,B,1.5σ,85.89510676753008,0.6011624127902901,3,EWT-EWH
Model I,B,2.0σ,50.69464714273927,0.41649530584558747,2,EWT-EWH
Model I,C,1.0σ,12.669018182268607,0.14773712021216262,75,EWT-EWH
Model I,C,1.5σ,29.513770317608323,0.3826191524011259,32,EWT-EWH
Model I,C,2.0σ,11.881408475849481,0.16753995625077198,18,EWT-EWH
Model Ii,A,1.0σ,95.40497485351067,0.7848125158242226,19,EWT-EWH
Model Ii,A,1.5σ,62.777543737972096,0.6189516777661579,8,EWT-EWH
Model Ii,A,2.0σ,39.970308428736885,0.4512106099390333,4,EWT-EWH
Model Ii,B,1.0σ,102.59689180817936,0.6730495647944386,6,EWT-EWH
Model Ii,B,1.5σ,85.89510676753008,0.6011624127902901,3,EWT-EWH
Model Ii,B,2.0σ,50.69464714273927,0.41649530584558747,2,EWT-EWH
Model Ii,C,1.0σ,12.669018182268607,0.14773712021216262,75,EWT-EWH
Model Ii,C,1.5σ,29.513770317608323,0.3826191524011259,32,EWT-EWH
Model Ii,C,2.0σ,11.881408475849481,0.16753995625077198,18,EWT-EWH
